Nr,Nr per journal,Journal,Year,Volume,Issue,Title,Study,Design,Within or Between?,Empirical?,N,N unequivocal?,Power analysis conducted?,Include study?
215,36,JSEP,2022,44,6,"What Influences Children’s Physical Activity? Investigating the Effects of Physical Self-Concept, Physical Self-Guides, Self-Efficacy, and Motivation",1,3,,1,645,1,0,1
216,37,JSEP,2022,44,6,Is It Really Worth the Effort? Examining the Effects of Mental Fatigue on Physical Activity Effort Discounting,1,3,,1,141,1,0,1
217,38,JSEP,2022,44,6,Is It Really Worth the Effort? Examining the Effects of Mental Fatigue on Physical Activity Effort Discounting,2,3,,1,232,1,0,1
218,39,JSEP,2022,44,6,Neither Too Easy Nor Too Difficult: Effects of Different Success Criteria on Motor Skill Acquisition in Children,1,1,2,1,48,1,0,1
219,40,JSEP,2022,44,6,Lifetime Stressor Exposure and Psychophysiological Reactivity and Habituation to Repeated Acute Social Stressors,1,3,,1,86,1,1,1
220,41,JSEP,2023,45,1,Evaluating the “Optimal Competition Parenting Workshop” Using the RE-AIM Framework: A 4-Year Organizational-Level Intervention in British Junior Tennis,1,1,1,1,130,1,0,1
221,42,JSEP,2023,45,1,Student Athletes’ Causal Attributions for Sport and School Achievement in Relation to Sport Dropout and Grade Point Average,1,3,,1,391,1,1,1
222,43,JSEP,2023,45,1,Autonomy-Supportive Teaching Enhances Prosocial and Reduces Antisocial Behavior via Classroom Climate and Psychological Needs: A Multilevel Randomized Control Intervention,1,1,2,1,80,1,1,1
223,44,JSEP,2023,45,1,The Effect of Immediacy of Expected Goal Feedback on Persistence in a Physical Task,1,1,2,1,34,1,1,1
224,45,JSEP,2023,45,1,The Effect of Immediacy of Expected Goal Feedback on Persistence in a Physical Task,2,1,2,1,34,1,1,1
225,46,JSEP,2023,45,2,"Evaluating the Feasibility, Acceptability, and Engagement of an mHealth Physical Activity Intervention for Adults With Spinal Cord Injury Who Walk: A Randomized Controlled Trial",1,1,2,1,20,1,0,1
226,47,JSEP,2023,45,2,A Methodological Checklist for Studies of Pleasure and Enjoyment Responses to High-Intensity Interval Training: Part I. Participants and Measures,1,,,0,,,,0
227,48,JSEP,2023,45,2,"A Methodological Checklist for Studies of Pleasure and Enjoyment Responses to High-Intensity Interval Training: Part II. Intensity, Timing of Assessments, Data Modeling, and Interpretation",1,,,0,,,,0
228,49,JSEP,2023,45,3,Affective Responses to Increasing- and Decreasing-Intensity Resistance Training Protocols,1,1,2,1,35,1,1,1
229,50,JSEP,2023,45,3,Can You Tell Who Scores? An Assessment of the Recognition of Affective States Based on the Nonverbal Behavior of Amateur Tennis Players in Competitive Matches,1,3,,1,269,1,0,1
230,51,JSEP,2023,45,3,Investigating Intraindividual Variability of Psychological Needs Satisfaction and Relations With Subsequent Physical Activity,1,3,,1,89,1,0,1
231,52,JSEP,2023,45,4,The Relationships Between Neural Activity and In-Game Hitting Performance in Baseball,1,3,,1,14,1,0,1
232,53,JSEP,2023,45,4,An Examination of the Challenge/Threat State and Sport- Performance Relationship While Controlling for Past Performance,1,2,,1,45,1,1,1
233,54,JSEP,2023,45,4,An Examination of the Challenge/Threat State and Sport- Performance Relationship While Controlling for Past Performance,2,2,,1,40,1,0,1
234,55,JSEP,2023,45,4,Mental Effort in Elite and Nonelite Rowers,1,2,,1,18,1,0,1
235,56,JSEP,2023,45,4,"The Relationship of Resilience, Self-Compassion, and Social Support to Psychological Distress in Women Collegiate Athletes During COVID-19",1,3,,1,3924,1,0,1
236,57,JSEP,2023,45,5,Sex Differences in Perceived Motor Competence After the Children’s Health Activity Motor Program Intervention,1,2,,1,247,1,0,1
237,58,JSEP,2023,45,5,"Examining the Utility of Stress-, Motivation-, and Commitment-Based Perspectives of Athlete Burnout",1,3,,1,370,1,0,1
238,59,JSEP,2023,45,5,"Teachers’ Verbal and Nonverbal Communication, Students’ Psychological Needs, and Positive and Negative Outcomes in Physical Education",1,3,,1,1000,1,0,1
239,60,JSEP,2023,45,5,Social Supports and Barriers for Older Adults Not Participating in Group Physical Activity,1,,,1,38,1,,0
240,61,JSEP,2023,45,6,Temporal Sequencing of Naturalistic Associations Between Body Satisfaction and Physical Activity: An Ecological Momentary Assessment Study Among Women in Midlife With Elevated Cardiovascular Risk,1,3,,1,75,1,0,1
241,62,JSEP,2023,45,6,The Psychometric Properties of Two Brief Measures of Teamwork in Sport,1,,,1,,,,0
242,63,JSEP,2023,45,6,Concussion Risk and Recovery in Athletes With Psychostimulant- Treated Attention-Deficit/Hyperactivity Disorder: Findings From the NCAA-DOD CARE Consortium,1,,,1,,,,0
243,64,JSEP,2023,45,6,Player Perceptions of Face Validity and Fidelity in 360-Video and Virtual Reality Cricket,1,1,2,1,39,1,1,1
244,1,PSE,2022,58,1,Adding experiential layers to the transnational-athlete concept: A narrative review of real-world heterogeneous mobility experiences,1,,,0,,,,0
245,2,PSE,2022,58,1,Affordance-based control in deceptive and non-deceptive penalties in soccer goalkeeping: Gender matters!,1,2,,1,16,1,1,1
246,3,PSE,2022,58,1,An exploration of doping-related perceptions and knowledge of disabled elite athletes in the UK and Austria,1,,,1,16,1,,0
247,4,PSE,2022,58,1,"Assessing lifetime stressor exposure in sport performers: Associations with trait stress appraisals, health, well-being, and performance",1,3,,1,395,1,1,1
248,5,PSE,2022,58,1,"Athletic identity, values and self-regulatory efficacy governing hypercompetitive attitudes",1,3,,1,522,1,0,1
249,6,PSE,2022,58,1,Compositional insights on the association between physical activity and sedentary behavior on momentary mood in daily life,1,3,,1,98,1,0,1
250,7,PSE,2022,58,1,Congruence of efficacy beliefs on the coach-athlete relationship and athlete anxiety: Athlete self-efficacy and coach estimation of athlete self-efficacy,1,3,,1,71,1,0,1
251,8,PSE,2022,58,1,Developing decision making in Rugby Union match officials using rational emotive behavior therapy (REBT),1,,,1,2,1,,0
252,9,PSE,2022,58,1,Effects of instagram sports posts on the athletic motivation of female elite athletes: Do they inspire or backfire?,1,1,3,1,117,1,1,1
253,10,PSE,2022,58,1,Effects of instagram sports posts on the athletic motivation of female elite athletes: Do they inspire or backfire?,2,1,3,1,137,1,1,1
254,11,PSE,2022,58,1,Effects of instagram sports posts on the athletic motivation of female elite athletes: Do they inspire or backfire?,3,1,3,1,143,1,1,1
255,12,PSE,2022,58,1,Effects of traditional and immersive video on anticipation in cricket: A temporal occlusion study,1,1,2,1,18,1,1,1
256,13,PSE,2022,58,1,Linking psychological risk profiles to running-related injuries and chronic fatigue in long-distance runners: A latent profile analysis,1,3,,1,425,1,0,1
257,14,PSE,2022,58,1,Longitudinal trajectories of emotions among athletes in sports competitions: Does emotional intelligence matter?,1,3,,1,460,1,0,1
258,15,PSE,2022,58,1,"Motivation beliefs, emotions, leisure time physical activity, and sedentary behavior in university students: A full longitudinal model of mediation",1,3,,1,586,1,0,1
259,16,PSE,2022,58,1,Parent and child car-ride interactions before and after sport competitions and practices: Video analysis of verbal and non-verbal communication,1,3,,1,28,1,0,1
260,17,PSE,2022,58,1,Parents’ competitive stressors in professional German youth soccer academies: A mixed-method study,1,3,,1,308,1,0,1
261,18,PSE,2022,58,1,Personal strivings of mentally tough Australian Rules footballers,1,,,1,7,1,,0
262,19,PSE,2022,58,1,Red shirt color has no effect on winning in European Soccer: Reanalysis of Attrill et al. (2008) of the English premier league and six additional European leagues?,1,,,1,,,,0
263,20,PSE,2022,58,1,Red shirt color has no effect on winning in European Soccer: Reanalysis of Attrill et al. (2008) of the English premier league and six additional European leagues?,2,,,1,,,,0
264,21,PSE,2022,58,1,Self-compassion and body-related self-conscious emotions: Examining within- and between-person variation among adolescent girls in sport?,1,3,,1,518,1,1,1
265,22,PSE,2022,58,1,Tai Chi exercise training enhances executive function and fluid intelligence of healthy older adults: Cross-sectional and longitudinal evidence?,1,3,,1,241,1,0,1
266,23,PSE,2022,58,1,Tai Chi exercise training enhances executive function and fluid intelligence of healthy older adults: Cross-sectional and longitudinal evidence?,2,2,,1,92,1,0,1
267,24,PSE,2022,58,1,The cognitive load of physical activity in individuals with high and low tolerance to effort: An ecological paradigm to contrast stepping on the spot and stepping through space,1,2,,1,40,1,0,1
268,25,PSE,2022,58,1,"The effects of self-compassion on daily emotion regulation and performance rebound among college athletes: Comparisons with confidence, grit, and hope?",1,3,,1,67,1,0,1
269,26,PSE,2022,58,1,The effects of self-efficacy on physical and cognitive performance: An analysis of meta-certainty,1,3,,1,166,1,1,1
270,27,PSE,2022,58,1,The effects of self-efficacy on physical and cognitive performance: An analysis of meta-certainty,2,1,3,1,132,1,1,1
271,28,PSE,2022,58,1,The effects of self-efficacy on physical and cognitive performance: An analysis of meta-certainty,3,3,,1,197,1,1,1
272,29,PSE,2022,58,1,The Flow-Clutch Scale: Development and preliminary validation in sport and exercise,1,,,0,,,,0
273,30,PSE,2022,58,1,The Flow-Clutch Scale: Development and preliminary validation in sport and exercise,2,,,1,280,1,,0
274,31,PSE,2022,58,1,The Flow-Clutch Scale: Development and preliminary validation in sport and exercise,3,,,1,264,1,,0
275,32,PSE,2022,58,1,The interplay of actual and perceived physical fitness in children: Effects on motivation and physical activity,1,3,,1,462,1,0,1
276,33,PSE,2022,58,1,The relation of learning disabilities to the long-term outcomes of concussion,1,3,,1,73,1,1,1
277,34,PSE,2022,58,1,Toward adjustment profiles for lower secondary student-athletes in the Finnish dual career context: A mixed-methods approach,1,3,,1,217,1,0,1
278,35,PSE,2022,58,1,Expertise and injury experience in professional skiers modulate the ability to predict the outcome of observed ski-related actions,1,2,,1,40,1,1,1
279,36,PSE,2022,58,1,Expertise and injury experience in professional skiers modulate the ability to predict the outcome of observed ski-related actions,2,2,,1,38,1,1,1
280,37,PSE,2022,58,1,"When the going gets tough, what happens to quiet eye? The role of time pressure and performance pressure during basketball free throws",1,1,1,1,34,1,0,1
281,38,PSE,2022,59,1,Can participation in organized sports help adolescents refrain from self-harm? An analysis of underlying mechanisms,1,3,,1,998,1,0,1
282,39,PSE,2022,59,1,Changes in students’ goal pursuits and motivational regulations toward healthy behaviors during the pandemic: A Self-Determination Theory perspective,1,3,,1,295,1,0,1
283,40,PSE,2022,59,1,"Contextual information in situations of uncertainty: The value of explicit-information provision depends on expertise level, knowledge acquisition and prior-action congruency",1,1,2,1,57,1,1,1
284,41,PSE,2022,59,1,Dimensions of social identification with the team as predictors of the coach-created training climate in rugby: A group-actor partner interdependence modelling perspective,1,3,,1,248,1,1,1
285,42,PSE,2022,59,1,Dissociating the contributions of motivational and information processing factors to the self-controlled feedback learning benefit,1,1,2,1,200,1,1,1
286,43,PSE,2022,59,1,Dorsolateral prefrontal cortex mediates working memory processes in motor skill learning,1,1,2,1,30,1,0,1
287,44,PSE,2022,59,1,Dorsolateral prefrontal cortex mediates working memory processes in motor skill learning,2,1,2,1,30,1,0,1
288,45,PSE,2022,59,1,Every Boy’s dream: A mixed method study of young professional Danish football player’s transnational migration,1,3,,1,36,1,0,1
289,46,PSE,2022,59,1,"Exploring the mental health of circus artists: Circus factors, psychological resilience, and demographics predict disordered eating and exercise addictions",1,3,,1,500,1,0,1
290,47,PSE,2022,59,1,Identity leadership and social identification within sport teams over a season: A social network analysis,1,3,,1,388,1,0,1
291,48,PSE,2022,59,1,"Perceived motivational climate influences athletes’ emotion regulation strategies, emotions, and psychobiosocial experiences",1,3,,1,459,1,0,1
292,49,PSE,2022,59,1,Perceived parental pressure and perceived coach pressure in adolescent and adult sport,1,3,,1,3259,1,1,1
293,50,PSE,2022,59,1,Perceptual-cognitive performance of youth soccer players in a 360?-environment – Differences between age groups and performance levels,1,3,,1,276,1,0,1
294,51,PSE,2022,59,1,Performance and decision making of a complex skill under monitoring and outcome pressure conditions: Which of them can reinvestment predict?,1,1,2,1,20,1,1,1
295,52,PSE,2022,59,1,Skating through pregnancy and motherhood: A narrative analysis of digital stories of elite figure skating expectant mothers,1,,,1,,,,0
296,53,PSE,2022,59,1,The role of individual and parental expectations in student-athletes’ career adaptability profiles?,1,3,,1,391++448,0,0,0
297,54,PSE,2022,59,1,Understanding action control of resistance training among adults,1,3,,1,1338,1,1,1
298,55,PSE,2022,60,1,A need-supportive teaching approach among students with intellectual disability in physical education,1,1,2,1,98,1,1,1
299,56,PSE,2022,60,1,An integrated mindfulness and acceptance-based program for young elite female basketball players: Exploratory study of how it works and for whom it works best,1,1,1,1,40,1,0,1
300,57,PSE,2022,60,1,Associations of cardiorespiratory fitness and moderate-to-vigorous physical activity with latent cognitive abilities in older adults,1,3,,1,115,1,1,1
301,58,PSE,2022,60,1,Change in the social context of physical activity across adolescence and its association with moderate-to-vigorous intensity physical activity,1,3,,1,938,1,0,1
302,59,PSE,2022,60,1,Coping with the loan transition in professional association football,1,,,1,11,1,,0
303,60,PSE,2022,60,1,Examining parent-child interactions in British junior tennis: A conversation analysis of the pre-competition car journey?,1,,,1,13,1,,0
304,61,PSE,2022,60,1,Group dynamics in Canadian recreational team sports later in life,1,,,1,17,1,,0
305,62,PSE,2022,60,1,"In the context of a sports match, the goal to win is most important, right? Suggestive evidence for a hierarchical achievement goal system",1,3,,1,647,1,1,1
306,63,PSE,2022,60,1,Interpersonal perceptions of personality traits in elite coach-athlete dyads,1,,,1,4,1,,0
307,64,PSE,2022,60,1,Intervention-enabled autonomy-supportive teaching improves the PE classroom climate to reduce antisocial behavior?,1,1,2,1,49,1,0,1
308,65,PSE,2022,60,1,"Is a pandemic as good as a rest? Comparing athlete burnout and stress before and after the suspension of organised team sport due to Covid-19 restrictions, and investigating the impact of athletes’ responses to this period",1,3,,1,92,1,0,1
309,66,PSE,2022,60,1,"Longitudinal analysis of stressors, stress, coping and coping effectiveness in elite esports athletes",1,,,1,6,1,,0
310,67,PSE,2022,60,1,Multiple group memberships promote health and performance following pathway transitions in junior elite cricket,1,3,,1,257,1,0,1
311,68,PSE,2022,60,1,No expectation bias in elite-level cricket umpires’ leg-before-wicket (LBW) decisions according to batting order position,1,,,1,,,,0
312,69,PSE,2022,60,1,"Optimal psychological states in advanced climbers: Antecedents, characteristics, and consequences of flow and clutch states",1,,,1,13,1,,0
313,70,PSE,2022,60,1,"Personality, motivational, and social cognition predictors of leisure-time physical activity?,??",1,3,,1,441,1,0,1
314,71,PSE,2022,60,1,Positive affect moderates inhibitory control and positive affect following a single bout of self-select aerobic exercise,1,1,2,1,54,1,1,1
315,72,PSE,2022,60,1,Pregnancy and motherhood in elite sport: The longitudinal experiences of two elite athletes,1,,,1,2,1,,0
316,73,PSE,2022,60,1,"Reliability and validity of the PL-C Quest, a scale designed to assess children’s self-reported physical literacy",1,,,1,669,1,,0
317,74,PSE,2022,60,1,The identity of the sport psychology profession: A multinational perspective,1,,,1,33,1,,0
318,75,PSE,2022,60,1,The impact of differing audience sizes on referees and team performance from a North American perspective,1,,,1,,,,0
319,76,PSE,2022,60,1,The impact of variation and autonomy on psychological responses to high intensity interval training exercise?,1,1,2,1,29,1,1,1
320,77,PSE,2022,60,1,The influence of absent crowds on National Rugby League match player statistics and running metrics,1,,,1,,,,0
321,78,PSE,2022,60,1,The mediational role of executive functions for the relationship between motor ability and academic performance in pediatric cancer survivors,1,3,,1,78,1,0,1
322,79,PSE,2022,60,1,The role of comprehensive education in anti-doping policy legitimacy and support among clean athletes,1,3,,1,1328,1,0,1
323,80,PSE,2022,60,1,Unimpaired performance during cognitive and visual manipulations in persons with anterior cruciate ligament reconstruction compared to healthy adults,1,3,,1,42,1,1,1
324,81,PSE,2022,60,1,"When time is of the essence: The use of rational emotive behavior therapy (REBT) informed single-session therapy (SST) to alleviate social and golf-specific anxiety, and improve wellbeing and performance, in amateur golfers",1,,,1,5,1,,0
325,82,PSE,2022,60,1,Within-person examination of the exercise intention-behavior gap among women in midlife with elevated cardiovascular disease risk,1,3,,1,75,1,0,1
326,83,PSE,2022,60,1,"Working memory, sustained attention, and physical activity: An intraindividual study",1,3,,1,35,1,0,1
327,84,PSE,2022,61,1,A conceptual model for mental health and performance of North American athletes: A mixed methods study,1,4,,1,43,1,,0
328,85,PSE,2022,61,1,A psychological intervention reduces doping likelihood in British and Greek athletes: A cluster randomized controlled trial,1,1,2,1,19,0,1,0
329,86,PSE,2022,61,1,"A re-examination of the 2x2 model of perfectionism, burnout, and engagement in sports",1,3,,1,401,1,1,1
330,87,PSE,2022,61,1,A sports-based intervention for pupils excluded from mainstream education: A systems approach to intervention acceptability and feasibility,1,,,1,62,0,,0
331,88,PSE,2022,61,1,Acceptance by athletes of a virtual reality head-mounted display intended to enhance sport performance,1,3,,1,1162,1,0,1
332,89,PSE,2022,61,1,Associations between parent perceived social cognitive factors and child objectively measured physical activity behaviors among preschool-aged children,1,3,,1,142,1,0,1
333,90,PSE,2022,61,1,Capturing coaches’ identity leadership within youth sport,1,,,1,8,1,,0
334,91,PSE,2022,61,1,Controlling the flight on double-handed foiling catamarans: The role of shared equipment on the crew members’ mutual modes of regulation,1,,,1,6,1,,0
335,92,PSE,2022,61,1,"Crowd reception influences avoidance behavior during football penalty-kicks, but you wouldn’t know it: A retrospective analysis of professional games",1,,,1,,,,0
336,93,PSE,2022,61,1,Development and initial validation of the Team Mental Models Instrument (TMMI): A psychometric tool to measure shared and complementary mental models in sports,1,,,1,627,1,,0
337,94,PSE,2022,61,1,Effects of the function-specific instruction approach to neurofeedback training on frontal midline theta waves and golf putting performance,1,1,2,1,36,1,1,1
338,95,PSE,2022,61,1,Examining associations between self-conscious emotions and implicit and reflective processes among adolescent girls and boys,1,3,,1,162,1,1,1
339,96,PSE,2022,61,1,Examining links between coaching behaviors and collegiate athletes’ burnout levels using a longitudinal approach,1,3,,1,126,1,0,1
340,97,PSE,2022,61,1,Executive functions in children engaging in open- and closed-skilled sports,1,3,,1,113,1,0,1
341,98,PSE,2022,61,1,Exploring the interplay between sport modality and cognitive function in open- and closed-skill athletes,1,3,,1,95,1,1,1
342,99,PSE,2022,61,1,Genetic associations with personality and mental toughness profiles of English academy football players: An exploratory study,1,3,,1,73,1,0,1
343,100,PSE,2022,61,1,"Magnitude, timing and duration of mood state and cognitive effects of acute moderate exercise in major depressive disorder",1,1,1,1,30,1,1,1
344,101,PSE,2022,61,1,Perceptual-cognitive performance of youth soccer players in a 360?-environment – An investigation of the relationship with soccer-specific performance and the effects of systematic training,1,1,2,1,42,1,0,1
345,102,PSE,2022,61,1,Personality traits moderate the relationships between psychological needs and enjoyment of physical activity,1,3,,1,399,1,0,1
346,103,PSE,2022,61,1,Primary school teacher outcomes from online professional development for physical literacy: A randomised controlled trial,1,1,2,1,92,1,1,1
347,104,PSE,2022,61,1,Prospective associations between physical fitness and executive function in adolescents: The UP&DOWN study,1,3,,1,422,1,0,1
348,105,PSE,2022,61,1,Repeated exercise class attendance: The role of class members’ similarity and social identification,1,3,,1,278,1,1,1
349,106,PSE,2022,61,1,Situational information and the design of representative learning tasks: What impact does a scoreboard have on expert taekwondo fighters’ behaviour and affective-cognitive responses?,1,1,1,1,9,1,1,1
350,107,PSE,2022,61,1,"Six-month stability of individual differences in sports coaches’ burnout, self-compassion and social support",1,3,,1,422,1,0,1
351,108,PSE,2022,61,1,Sleep dependent consolidation of gross motor sequence learning with motor imagery,1,1,2,1,76,1,1,1
352,109,PSE,2022,61,1,Switching attentional focus across internal and external cues improves performance in a rowing task in novices,1,1,1,1,27,1,1,1
353,110,PSE,2022,61,1,The examination of factors influencing the recognition of affective states associated with tennis players’ non-verbal behaviour,1,3,,1,115,1,1,1
354,111,PSE,2022,61,1,The importance of reflection and evaluation processes in daily training sessions for progression toward elite level swimming performance,1,3,,1,157,1,0,1
355,112,PSE,2022,61,1,The physical self-concept across childhood: Measurement development and meaning for physical activity,1,,,0,,,,0
356,113,PSE,2022,61,1,The role of motivation in the conceptual model of motor development in childhood,1,3,,1,504,1,0,1
357,114,PSE,2022,61,1,Whistleblowing of bullying in professional football: To report or not to report?,1,,,1,18,1,,0
358,115,PSE,2022,62,1,"A dual process model of affective and instrumental implicit attitude, self-monitoring, and sedentary behavior",1,3,,1,148,0,0,0
359,116,PSE,2022,62,1,"A dual process model of affective and instrumental implicit attitude, self-monitoring, and sedentary behavior",2,3,,1,241,1,0,1
360,117,PSE,2022,62,1,A qualitative exploration of the motor skills required for elite triathlon performance,1,,,1,25,1,,0
361,118,PSE,2022,62,1,Adventure-based mindsets helped maintain psychological well-being during COVID-19,1,,,1,20,1,,0
362,119,PSE,2022,62,1,Affective responses to resistance exercise: Toward a consensus on the timing of assessments,1,1,1,1,33,1,1,1
363,120,PSE,2022,62,1,Creating an environment for thriving: An ethnographic exploration of a British decentralised Olympic and Paralympic Sport Organisation,1,,,1,,,,0
364,121,PSE,2022,62,1,"Doping in disabled elite sport: Perceptions, knowledge and opinions from the perspective of German and UK coaches",1,,,1,11,1,,0
365,122,PSE,2022,62,1,Exploration of the moderator effect of cultural diversity on team performance across 45 professional football leagues: An ecological dynamics perspective on cross-cultural research,1,,,1,,,,0
366,123,PSE,2022,62,1,Eye-gaze behaviour of expert and novice surfers in a simulated surf environment?,1,2,,1,24,1,1,1
367,124,PSE,2022,62,1,"From “blessing in disguise” to “what do I do now?”: How Canadian Olympic and Paralympic hopefuls perceived, experienced, and coped with the postponement of the Tokyo 2020 Games",1,,,1,21,1,,0
368,125,PSE,2022,62,1,How am I doing? Performance feedback mitigates the effects of mental fatigue on endurance exercise performance,1,2,,1,63,1,0,1
369,126,PSE,2022,62,1,Larger effort gains in weaker relay swimmers independent of their starting order,1,,,1,,,,0
370,127,PSE,2022,62,1,Parents’ experiences of family food routines in adolescent elite-level swimming,1,,,1,16,1,,0
371,128,PSE,2022,62,1,Reciprocal effects of esport participation and mental fatigue among Chinese undergraduate students using dynamic structural equation modeling,1,3,,1,63,1,0,1
372,129,PSE,2022,62,1,Understanding organizational resilience in elite sport: An exploration of psychosocial processes,1,,,1,22,1,,0
373,130,PSE,2022,62,1,Was it a clutch performance? A qualitative exploration of the definitional boundaries of clutch performance,1,,,1,24,1,,0
374,131,PSE,2022,63,1,“Nothing was lost sailing-wise and lots is gained on a personal level”: Practitioners’ behaviors and athletes’ perceptions of working in online environments,1,,,1,27,1,,0
375,132,PSE,2022,63,1,A Brief Online Video-Based Intervention to Promote Mental Health Help-Seeking in the Context of Injuries for Athletes: A pilot study,1,1,1,1,207,1,1,1
376,133,PSE,2022,63,1,A longitudinal analysis of reciprocal relationships between actual and perceived motor competencies and physical self-concept in primary-school age children,1,1,2,1,200,1,0,1
377,134,PSE,2022,63,1,A test of the impact of pain on automatic motivational processes in people with knee osteoarthritis,1,3,,1,253,1,1,1
378,135,PSE,2022,63,1,"Boredom, motivation, and perceptions of pain: Mechanisms to explain the effects of self-control exertion on subsequent physical performance",1,1,2,1,63,1,1,1
379,136,PSE,2022,63,1,Can discrepancies between impulsive and reflective processes be associated with movement behavior among the elderly? The facilitating role of inhibitory control,1,3,,1,128,1,0,1
380,137,PSE,2022,63,1,Cortical responses to sport-specific stimuli in a standing stop signal task,1,1,2,1,17,1,1,1
381,138,PSE,2022,63,1,Depression severity and psychosocial determinants of physical activity behavior in in-patients with major depressive disorders,1,3,,1,215,1,1,1
382,139,PSE,2022,63,1,Developmental associations of actual motor competence and perceived physical competence with health-related fitness in schoolchildren over a four-year follow-up,1,3,,1,1147,1,0,1
383,140,PSE,2022,63,1,Diverse multi-week physical activity programs reduce ADHD symptoms: A systematic review and meta-analysis,1,,,1,,,,0
384,141,PSE,2022,63,1,Do women athletes’ experiences of menstrual function and dysfunction vary across competition levels? A mixed methods exploration?,1,3,,1,63,1,0,1
385,142,PSE,2022,63,1,Examining the diversity of ultra-running motivations and experiences: A reversal theory perspective,1,,,1,10,1,,0
386,143,PSE,2022,63,1,Examining the reliability and predictive validity of performance assessments by soccer coaches and scouts: The influence of structured collection and mechanical combination of information?,1,1,2,1,96,1,1,1
387,144,PSE,2022,63,1,Exploring female dancer’s emotions and coping experiences following deselection: An interpretative phenomenological analysis,1,,,1,10,1,,0
388,145,PSE,2022,63,1,It takes two to tango: Using the actor-partner interdependence model for studying the coach-athlete relationship,1,,,0,,,,0
389,146,PSE,2022,63,1,Motor competence predicts self-esteem during childhood in typical development children,1,3,,1,144,1,0,1
390,147,PSE,2022,63,1,Not your average sport parents: How sport scholars make decisions about their own children’s sport involvement?,1,,,1,11,1,,0
391,148,PSE,2022,63,1,Parent’s physical literacy enhances children’s values towards physical activity: A serial mediation model,1,3,,1,946,1,0,1
392,149,PSE,2022,63,1,Physical effort biases the perceived pleasantness of neutral faces: A virtual reality study,1,1,1,1,42,1,1,1
393,150,PSE,2022,63,1,Preventing violent extremism in youth through sports: An intervention from the 3N model,1,2,,1,213,1,0,1
394,151,PSE,2022,63,1,Preventing violent extremism in youth through sports: An intervention from the 3N model,2,,,1,76,1,,0
395,152,PSE,2022,63,1,Running as a way fat women re-story their bodies and construct a runner identity in a North American sociocultural context?,1,,,1,19,1,,0
396,153,PSE,2022,63,1,Simultaneous and alternate combinations of action-observation and motor imagery involve a common lower-level sensorimotor process,1,1,2,1,70,1,0,1
397,154,PSE,2022,63,1,Team identification and athlete burnout: Testing longitudinal serial mediation via perceived support and stress,1,3,,1,176,1,1,1
398,155,PSE,2022,63,1,Testing the REBT-I model in athletes: Investigating the role of self-confidence between irrational beliefs and psychological distress,1,3,,1,410,1,0,1
399,156,PSE,2022,63,1,The Behavioral Regulation in Exercise Questionnaire (BREQ-4): Psychometric evidence of introjected approach regulation in Portuguese health club exercisers,1,,,1,806,1,,0
400,157,PSE,2022,63,1,The Behavioral Regulation in Exercise Questionnaire (BREQ-4): Psychometric evidence of introjected approach regulation in Portuguese health club exercisers,2,,,1,410,1,,0
401,158,PSE,2022,63,1,The gap between athletes’ and parents’ perceptions of parental practices: The role of gender,1,3,,1,608,1,0,1
402,159,PSE,2022,63,1,"The impact of verbal and physical abuse on distress, mental health, and intentions to quit in sports officials",1,3,,1,438,1,1,1
403,160,PSE,2022,63,1,Two years of physically active mathematics lessons enhance cognitive function and gross motor skills in primary school children,1,1,2,1,82,1,1,1
404,161,PSE,2022,63,1,Upsetting the apple cart: Within-team profiles of intragroup conflict and their associations with narcissism?,1,3,,1,1107,1,0,1
405,162,PSE,2022,63,1,"Using a virtual reality cricket simulator to explore the effects of pressure, competition anxiety on batting performance in cricket",1,2,,1,28,1,0,1
406,163,PSE,2022,63,1,"Using a virtual reality cricket simulator to explore the effects of pressure, competition anxiety on batting performance in cricket",2,2,,1,28,1,0,1
407,164,PSE,2023,64,1,“Is the focus in professional rugby ever really on health?”: A qualitative study on the uptake of illness prevention guidelines in rugby,1,,,1,16,1,,0
408,165,PSE,2023,64,1,"“There may not be a rainbow sticker at the door, but there are my rainbow shoes”: A qualitative exploration of resilience among LGBTQ+ adults in physical activity contexts",1,,,1,36,1,,0
409,166,PSE,2023,64,1,“Women easily feel that they have lost a year if they don’t ski faster”: Finnish ski coaches’ discursive constructions of gendered dual career pathways,1,,,1,10,1,,0
410,167,PSE,2023,64,1,A longitudinal investigation of the role of perceived autonomy support from coaches in reducing athletes’ experiential avoidance: The mediating role of subjective vitality,1,3,,1,237,1,1,1
411,168,PSE,2023,64,1,Acute effects of mindful interval exercise on cognitive performance in a higher education setting,1,1,2,1,59,1,1,1
412,169,PSE,2023,64,1,Acute effects of mindful interval exercise on cognitive performance in a higher education setting,2,1,2,1,70,1,1,1
413,170,PSE,2023,64,1,Development of a tool for quantifying need-supportive coaching in technology-mediated exercise classes,1,,,1,,,,0
414,171,PSE,2023,64,1,"Don’t look back in anger: A cross-sectional and dyadic examination of the Dark Triad, anger, and aggression in athletes",1,3,,1,224,1,1,1
415,172,PSE,2023,64,1,"Don’t look back in anger: A cross-sectional and dyadic examination of the Dark Triad, anger, and aggression in athletes",2,3,,1,98,1,1,1
416,173,PSE,2023,64,1,Effect of a sex stereotype on cortical activity during a self-paced exercise: A motor-related cortical potential approach,1,1,2,1,34,1,1,1
